"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-26",,,"1.25","0.0","0.0","86","66","78",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-27",,,"0.00","0.0","0.0","85","63","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-28",,,"0.00","0.0","0.0","92","65","84",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-29",,,"0.00","0.0","0.0","90","70","86",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-30",,,"0.00","0.0","0.0","89","70","87",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-05-31",,,"0.00","0.0","0.0","91","71","89",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-01",,,"0.00","0.0","0.0","91","69","87",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-02",,,"0.00","0.0","0.0","92","70","88",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-03",,,"0.00","0.0","0.0","93","69","90",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-04",,,"0.00","0.0","0.0","96","69","87",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-05",,,"0.00","0.0","0.0","94","70","89",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-06",,,"0.00","0.0","0.0","95","75","91",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-07",,,"0.00","0.0","0.0","96","75","90",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-08",,,"0.00","0.0","0.0","93","76","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-09",,,"0.00","0.0","0.0","80","61","73",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-10",,,"0.00","0.0","0.0","89","54","86",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-11",,,"0.00","0.0","0.0","93","59","88",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-12",,,"0.00","0.0","0.0","88","59","82",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-06-13",,,"0.00","0.0","0.0","94","56","92",,,,,,
